export_val__kurtosis,export_val__autocorrelation__lag_3,export_val__autocorrelation__lag_2,export_val__autocorrelation__lag_1,export_val__autocorrelation__lag_4,export_val__autocorrelation__lag_7,export_val__autocorrelation__lag_2,export_val__autocorrelation__lag_3,export_val__autocorrelation__lag_3,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_4,export_val__autocorrelation__lag_8,export_val__autocorrelation__lag_3,export_val__autocorrelation__lag_7,export_val__autocorrelation__lag_4,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_7,export_val__autocorrelation__lag_3,export_val__autocorrelation__lag_4,export_val__autocorrelation__lag_1,export_val__autocorrelation__lag_8,export_val__autocorrelation__lag_2,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_2,export_val__autocorrelation__lag_9,export_val__autocorrelation__lag_1,export_val__autocorrelation__lag_4,export_val__autocorrelation__lag_8,export_val__augmented_dickey_fuller__attr_teststat__autolag_aic,export_val__autocorrelation__lag_7,export_val__autocorrelation__lag_7,export_val__autocorrelation__lag_9,export_val__autocorrelation__lag_3,export_val__autocorrelation__lag_5,export_val__autocorrelation__lag_2,export_val__autocorrelation__lag_4,export_val__augmented_dickey_fuller__attr_teststat__autolag_aic,export_val__autocorrelation__lag_8,export_val__autocorrelation__lag_1,export_val__autocorrelation__lag_9,export_val__autocorrelation__lag_4,export_val__autocorrelation__lag_4,
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,-0.449922,-0.809552,-0.764879,-0.712896,-0.330018,-1.039105,-0.764879,-0.809552,-0.809552,0.026117,-0.330018,-1.041914,-0.809552,-1.039105,-0.330018,0.026117,0.026117,0.026117,-1.039105,-0.809552,-0.330018,-0.712896,-1.041914,-0.764879,0.026117,0.026117,-0.764879,1.162259,-0.712896,-0.330018,-1.041914,-0.579605,-1.039105,-1.039105,1.162259,-0.809552,0.026117,-0.764879,-0.330018,-0.579605,-1.041914,-0.712896,1.162259,-0.330018,-0.330018
Albania,0.959221,-0.868237,-0.931461,-0.974171,0.841405,-0.386377,-0.931461,-0.868237,-0.868237,-0.713738,0.841405,-0.093095,-0.868237,-0.386377,0.841405,-0.713738,-0.713738,-0.713738,-0.386377,-0.868237,0.841405,-0.974171,-0.093095,-0.931461,-0.713738,-0.713738,-0.931461,0.530659,-0.974171,0.841405,-0.093095,1.444940,-0.386377,-0.386377,0.530659,-0.868237,-0.713738,-0.931461,0.841405,1.444940,-0.093095,-0.974171,0.530659,0.841405,0.841405
Algeria,-0.520746,-0.745900,-0.847900,-0.289488,-0.086512,-0.891292,-0.847900,-0.745900,-0.745900,0.452513,-0.086512,-0.061913,-0.745900,-0.891292,-0.086512,0.452513,0.452513,0.452513,-0.891292,-0.745900,-0.086512,-0.289488,-0.061913,-0.847900,0.452513,0.452513,-0.847900,1.175300,-0.289488,-0.086512,-0.061913,-0.784242,-0.891292,-0.891292,1.175300,-0.745900,0.452513,-0.847900,-0.086512,-0.784242,-0.061913,-0.289488,1.175300,-0.086512,-0.086512
American Samoa,-1.050329,-0.936127,0.059820,-0.993580,1.408351,-0.317804,0.059820,-0.936127,-0.936127,-0.161451,1.408351,-0.276470,-0.936127,-0.317804,1.408351,-0.161451,-0.161451,-0.161451,-0.317804,-0.936127,1.408351,-0.993580,-0.276470,0.059820,-0.161451,-0.161451,0.059820,-0.160370,-0.993580,1.408351,-0.276470,-0.300963,-0.317804,-0.317804,-0.160370,-0.936127,-0.161451,0.059820,1.408351,-0.300963,-0.276470,-0.993580,-0.160370,1.408351,1.408351
Andorra,-0.110793,-0.936127,-0.487424,-0.993580,-1.029828,-0.865889,-0.487424,-0.936127,-0.936127,-0.933306,-1.029828,2.198714,-0.936127,-0.865889,-1.029828,-0.933306,-0.933306,-0.933306,-0.865889,-0.936127,-1.029828,-0.993580,2.198714,-0.487424,-0.933306,-0.933306,-0.487424,-1.144820,-0.993580,-1.029828,2.198714,0.524338,-0.865889,-0.865889,-1.144820,-0.936127,-0.933306,-0.487424,-1.029828,0.524338,2.198714,-0.993580,-1.144820,-1.029828,-1.029828
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Wallis and Futuna,-0.290839,-0.936127,-0.893389,-0.993580,-1.029828,-0.317804,-0.893389,-0.936127,-0.936127,0.341547,-1.029828,-0.276470,-0.936127,-0.317804,-1.029828,0.341547,0.341547,0.341547,-0.317804,-0.936127,-1.029828,-0.993580,-0.276470,-0.893389,0.341547,0.341547,-0.893389,-0.160370,-0.993580,-1.029828,-0.276470,0.145284,-0.317804,-0.317804,-0.160370,-0.936127,0.341547,-0.893389,-1.029828,0.145284,-0.276470,-0.993580,-0.160370,-1.029828,-1.029828
Yemen,1.653389,-0.415159,-0.175222,-0.210091,-0.504104,-0.480685,-0.175222,-0.415159,-0.415159,-0.594382,-0.504104,-0.494349,-0.415159,-0.480685,-0.504104,-0.594382,-0.594382,-0.594382,-0.480685,-0.415159,-0.504104,-0.210091,-0.494349,-0.175222,-0.594382,-0.594382,-0.175222,-0.422107,-0.210091,-0.504104,-0.494349,-0.807155,-0.480685,-0.480685,-0.422107,-0.415159,-0.594382,-0.175222,-0.504104,-0.807155,-0.494349,-0.210091,-0.422107,-0.504104,-0.504104
Yugoslavia,-0.670008,-0.447117,0.101799,0.945794,-0.840046,-0.057625,0.101799,-0.447117,-0.447117,-0.414455,-0.840046,1.724618,-0.447117,-0.057625,-0.840046,-0.414455,-0.414455,-0.414455,-0.057625,-0.447117,-0.840046,0.945794,1.724618,0.101799,-0.414455,-0.414455,0.101799,2.245290,0.945794,-0.840046,1.724618,-0.215563,-0.057625,-0.057625,2.245290,-0.447117,-0.414455,0.101799,-0.840046,-0.215563,1.724618,0.945794,2.245290,-0.840046,-0.840046
Zambia,1.826136,-0.549318,-0.692234,-0.900207,-0.575593,-0.424236,-0.692234,-0.549318,-0.549318,-0.573096,-0.575593,0.418496,-0.549318,-0.424236,-0.575593,-0.573096,-0.573096,-0.573096,-0.424236,-0.549318,-0.575593,-0.900207,0.418496,-0.692234,-0.573096,-0.573096,-0.692234,-0.313681,-0.900207,-0.575593,0.418496,-1.465849,-0.424236,-0.424236,-0.313681,-0.549318,-0.573096,-0.692234,-0.575593,-1.465849,0.418496,-0.900207,-0.313681,-0.575593,-0.575593
Zimbabwe,0.861359,-0.530906,-0.705722,0.497952,-0.534804,-0.405188,-0.705722,-0.530906,-0.530906,-0.527356,-0.534804,-0.388514,-0.530906,-0.405188,-0.534804,-0.527356,-0.527356,-0.527356,-0.405188,-0.530906,-0.534804,0.497952,-0.388514,-0.705722,-0.527356,-0.527356,-0.705722,-0.292058,0.497952,-0.534804,-0.388514,-0.486564,-0.405188,-0.405188,-0.292058,-0.530906,-0.527356,-0.705722,-0.534804,-0.486564,-0.388514,0.497952,-0.292058,-0.534804,
